65ef3c1b-446f-48c8-82d4-b23e8fd495f7
Device ID;1
Device Label;Handy
Measurement start;2018 Jan 08 11:43
Measurement end;2018 Jan 08 11:43
Measurement duration;1min 26s
Device Name;motorola/XT1575
Voice call connection success rate;N.A.
Video call connection success rate;N.A.
FTP transfer success rate;N.A.
SFTP transfer success rate;N.A.
HTTP transfer success rate;N.A.
Dropbox transfer success rate;N.A.
Browsing transfer success rate;N.A.
Ping success rate;100
SMS success rate;N.A.
MMS success rate;N.A.
Facebook transfer success rate;N.A.
YouTube transfer success rate;N.A.
PEVQ-S transfer success rate;N.A.
Netflix transfer success rate;N.A.
Twitter transfer success rate;N.A.
Instagram transfer success rate;N.A.
LinkedIn transfer success rate;N.A.
Speedtest transfer success rate;N.A.
E-mail connection success rate;N.A.
E-mail send success rate;N.A.
E-mail receiving success rate;N.A.
mScore transfer success rate;N.A.
Voice call attempt;0
Voice call connected;0
Voice call attempt failed;0
Voice call disconnected;0
Voice call dropped;0
Voice call drop rate;N.A.
Voice call previous setup time;N.A.
Voice call average setup time;N.A.
CSFB call previous setup time;N.A.
CSFB call average setup time;N.A.
SRVCC attempts;0
SRVCC failures;0
SRVCC failure rate;N.A.
SRVCC interruption time;N.A.
Video call attempt;0
Video call connected;0
Video call attempt failed;0
Video call disconnected;0
Video call dropped;0
Video call drop rate;N.A.
Video call previous setup time;N.A.
Video call average setup time;N.A.
Video Call downgrade to voice call;0
Voice Call upgrade to video call;0
FTP connection attempt;0
FTP connection success;0
FTP connection failed;0
FTP connection disconnected;0
FTP connection dropped;0
FTP connection success rate;N.A.
FTP connection cut-off rate;N.A.
FTP previous connection time;N.A.
FTP average connection time;N.A.
FTP transfer attempt;0
FTP transfer success;0
FTP transfer failed;0
FTP transfer downlink tput avg(previous);N.A.
FTP transfer downlink tput average(all);N.A.
FTP transfer uplink tput avg(previous);N.A.
FTP transfer uplink tput avg(all);N.A.
SFTP connection attempt;0
SFTP connection success;0
SFTP connection failed;0
SFTP connection disconnected;0
SFTP connection dropped;0
SFTP connection success rate;N.A.
SFTP connection cut-off rate;N.A.
SFTP previous connection time;N.A.
SFTP average connection time;N.A.
SFTP transfer attempt;0
SFTP transfer success;0
SFTP transfer failed;0
SFTP transfer downlink tput avg(previous);N.A.
SFTP transfer downlink tput average(all);N.A.
SFTP transfer uplink tput avg(previous);N.A.
SFTP transfer uplink tput avg(all);N.A.
HTTP connection attempt;0
HTTP connection success;0
HTTP connection failed;0
HTTP connection disconnected;0
HTTP connection dropped;0
HTTP connection success rate;N.A.
HTTP connection cut-off rate;N.A.
HTTP previous connection time;N.A.
HTTP average connection time;N.A.
HTTP transfer attempt;0
HTTP transfer success;0
HTTP transfer failed;0
HTTP transfer downlink tput avg(previous);N.A.
HTTP transfer downlink tput avg(all);N.A.
HTTP transfer uplink tput avg(previous);N.A.
HTTP transfer uplink tput avg(all);N.A.
Dropbox connection attempt;0
Dropbox connection success;0
Dropbox connection failed;0
Dropbox connection disconnected;0
Dropbox connection dropped;0
Dropbox connection success rate;N.A.
Dropbox connection cut-off rate;N.A.
Dropbox previous connection time;N.A.
Dropbox average connection time;N.A.
Dropbox transfer attempt;0
Dropbox transfer success;0
Dropbox transfer failed;0
Dropbox transfer downlink tput avg(previous);N.A.
Dropbox transfer downlink tput avg(all);N.A.
Dropbox transfer uplink tput avg(previous);N.A.
Dropbox transfer uplink tput avg(all);N.A.
Browsing connection attempt;0
Browsing connection success;0
Browsing connection failed;0
Browsing connection success rate;N.A.
Browsing connection disconnected;0
Browsing connection dropped;0
Browsing connection cut-off rate;N.A.
Browsing transfer attempt;0
Browsing transfer success;0
Browsing transfer failed;0
Browsing previous loading time;N.A.
Browsing average loading time;N.A.
Ping attempt;100
Ping success;100
Ping failed;0
Ping RTT min;28
Ping RTT max;263
Ping RTT avg;42
SMS attempt;0
SMS success;0
SMS failed;0
MMS attempt;0
MMS success;0
MMS failed;0
Iperf TCP connection attempt;0
Iperf TCP connection success;0
Iperf TCP connection failed;0
Iperf TCP connection disconnected;0
Iperf TCP connection dropped;0
Iperf TCP connection success rate;N.A.
Iperf TCP connection cut-off rate;N.A.
Iperf TCP transfer attempt;0
Iperf TCP transfer success;0
Iperf TCP transfer failed;0
Iperf TCP transfer success rate;N.A.
Iperf UDP connection attempt;0
Iperf UDP connection success;0
Iperf UDP connection failed;0
Iperf UDP connection disconnected;0
Iperf UDP connection dropped;0
Iperf UDP connection success rate;N.A.
Iperf UDP connection cut-off rate;N.A.
Iperf UDP transfer attempt;0
Iperf UDP transfer success;0
Iperf UDP transfer failed;0
Iperf UDP transfer success rate;N.A.
Facebook connection attempt;0
Facebook connection success;0
Facebook connection failed;0
Facebook connection disconnected;0
Facebook connection dropped;0
Facebook connection success rate;N.A.
Facebook connection cut-off rate;N.A.
Facebook transfer attempt;0
Facebook transfer success;0
Facebook transfer failed;0
Facebook transfer downlink tput avg(previous);N.A.
Facebook transfer downlink tput average(all);N.A.
Facebook transfer uplink tput avg(previous);N.A.
Facebook transfer uplink tput avg(all);N.A.
YouTube connection attempt;0
YouTube connection success;0
YouTube connection failed;0
YouTube connection disconnected;0
YouTube connection dropped;0
YouTube connection success rate;N.A.
